     X (m)          Y (m)        Depth (m)
     36.2313       14.1486      -39.0027 
     74.2655       14.1020      -38.9520 
     22.2518       16.1626      -39.1022 
     24.3117       16.1469      -39.2121 
     34.2860       16.1707      -38.9927 
     52.2335       16.1510      -38.9520 
     56.2723       16.0886      -38.9422 
     60.3198       16.1379      -38.9620 
     72.3100       16.0346      -38.8762 
     80.3046       16.0838      -38.9732 
     82.2220       16.1047      -39.0300 
     86.2953       16.0769      -38.9498 
     88.2772       16.1549      -38.9980 
     14.2236       18.1574      -39.1256 
     24.2855       18.1335      -39.1390 
     30.2820       18.1134      -39.1002 
     32.2125       18.0673      -38.9479 
     34.2229       18.1353      -38.9109 
     38.2717       18.2146      -38.8012 
     50.2283       18.0940      -38.7550 
     52.2688       18.0778      -38.8278 
     56.2475       18.1318      -38.8320 
     58.2714       18.0746      -38.8793 
     66.2962       18.1929      -38.7985 
     70.2785       18.0738      -38.7161 
     72.2692       18.1957      -38.5876 
     86.2877       18.1111      -38.8269 
     90.2416       18.1055      -38.8609 
     12.2734       20.1026      -39.1233 
     26.2413       20.1132      -38.8951 
     30.3049       20.1702      -38.9018 
     34.3084       20.1518      -38.6979 
     40.3035       20.1582      -38.7498 
     44.3545       20.0994      -38.7064 
     60.3050       20.1190      -38.6928 
     62.2208       20.1532      -38.5519 
     80.2647       20.1718      -38.6123 
     82.2635       20.1210      -38.5530 
     86.2979       20.0911      -38.6313 
     90.1773       20.1386      -38.6533 
     20.2503       22.1262      -38.8940 
     32.3356       22.0983      -38.7000 
     38.2624       22.1288      -38.4474 
     76.2262       22.1296      -38.2895 
     78.2421       22.1432      -38.2588 
     82.2255       22.0522      -38.4276 
     10.1299       24.1283      -38.8629 
     12.3031       24.2048      -38.7832 
     14.2782       24.1326      -38.8466 
     34.2570       24.2251      -38.2385 
     10.2315       26.1056      -38.6179 
     20.2038       25.9541      -38.5366 
     22.4580       26.0607      -38.4886 
     34.1840       60.1334      -38.3115 
     40.1771       62.1310      -38.1818 
     42.2937       62.1265      -38.1550 
     48.2920       62.0667      -37.8406 
     60.2368       64.0988      -37.9970 
     28.2924       66.0533      -38.0093 
     30.2237       66.1573      -38.1042 
     32.2188       66.0965      -38.1769 
     36.2330       66.1480      -38.4620 
     38.2117       66.2137      -38.7600 
     40.3269       66.1403      -38.8140 
     60.2525       66.1163      -38.3046 
     72.3594       66.0448      -37.6037 
     34.3326       68.1804      -38.6274 
     38.3302       68.0735      -38.8956 
     54.2571       68.1110      -38.4685 
     68.2504       68.1785      -38.1544 
     12.2601       70.1292      -37.9036 
     18.2656       70.1064      -37.9576 
     20.2672       70.1332      -38.0816 
     26.2785       70.1518      -38.4509 
     30.2253       70.1330      -38.6154 
     44.2555       70.1484      -38.6823 
     74.2436       70.1288      -38.0298 
     78.2783       70.1818      -37.6304 
     84.3070       70.1801      -37.4831 
     88.2654       70.1318      -37.5485 
     28.2713       72.0331      -38.5577 
     30.2317       72.1392      -38.6412 
     36.2904       72.1302      -38.4398 
     38.2641       72.1396      -38.4590 
     52.2985       72.1373      -38.2515 
     68.2529       72.1525      -38.0002 
     70.2984       72.1798      -38.0434 
     76.2160       72.1811      -37.8577 
     84.2379       72.1612      -37.3895 
     90.3340       72.1506      -37.4482 
     22.2660       74.1432      -38.5796 
     34.3185       74.2060      -38.4074 
     40.3147       74.1067      -38.2048 
     48.2989       74.0751      -38.1498 
     64.2199       74.1927      -37.9543 
     68.2277       74.1821      -37.8867 
     74.2494       74.1308      -37.8565 
     78.2220       74.1773      -37.6963 
     18.2723       76.1851      -38.5514 
     20.2907       76.1686      -38.6123 
     22.2962       76.1314      -38.5362 
     24.2307       76.1290      -38.5592 
     26.3199       76.1442      -38.5222 
